"audit_index","dataset_index","file_name","brightness_semantic_unchanged","blur_semantic_unchanged","noise_semantic_unchanged","review_notes"
"73","3645","896425f5-a794e661.jpg","true","true","true",""
"74","3663","8b01fdbe-c4fd7671.jpg","true","true","true",""
"75","3666","8b53d6f2-600bbc6b.jpg","true","true","true",""
"76","3680","8cb14fde-4dd7fd73.jpg","true","true","true",""
"77","3688","8dd58869-2738b69a.jpg","true","true","true",""
"78","3745","934e6efc-0d528235.jpg","true","true","true",""
"79","3881","9f9e2feb-9bda8583.jpg","true","true","true",""
"80","3891","a0532f4d-83c3b473.jpg","true","true","true",""
"81","3961","a75944ab-a505db20.jpg","true","true","true",""
"82","3993","aafe19f7-51795134.jpg","true","true","true",""
"83","4027","ade0f0c9-b01d93b1.jpg","true","true","true",""
"84","4046","b05dc32c-5eb7622d.jpg","true","true","true",""
"85","4099","b487a2fa-53094db8.jpg","true","true","true",""
"86","4124","b6d0b9d1-bfbc7861.jpg","true","true","true",""
"87","4150","b8b06f77-5b618032.jpg","true","true","true",""
"88","4169","bb7792f1-e7ef3677.jpg","true","true","true",""
"89","4175","bc4a16d5-a4cc1adf.jpg","true","true","true",""
"90","4200","befce81b-f743c561.jpg","true","true","true",""
"91","4233","c15c29a5-47a16c75.jpg","true","true","true",""
"92","4266","c4aac9d9-47b01027.jpg","true","true","true",""
"93","4313","c927d51b-92852659.jpg","true","true","true",""
"94","4395","d91b1ddb-30b579a8.jpg","true","true","true",""
"95","4406","db40514c-c5a7a28e.jpg","true","true","true",""
"96","4457","e7716604-bc4bf168.jpg","true","true","true",""
"97","4475","ebb98ba2-6ae8d86a.jpg","true","true","true",""
"98","4504","f21f7d33-b59d0bf8.jpg","true","true","true",""
"99","4507","f2cf8834-c7cf338c.jpg","true","true","true",""
"100","4552","fdb8ec88-d02b1a80.jpg","true","true","true",""
