Audit_ID,File_Name,Detected_Class,Localized_Rationales,Critical_Binding_Correct,Control_Free_Of_Critical_Evidence,Semantic_Label_Unchanged,Notes
69,648d81d8-b8cda858_1.jpg,traffic light,green_light;red_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
70,64d86ed5-c0009235.jpg,traffic light,red_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
71,678b7e0b-fcafbf82_3.jpg,traffic light,red_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
72,6a06ce90-1be927a6_1.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
73,6a06ce90-c84c7bc8.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
74,6c170040-b6375820.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
75,6c72d53e-84cb0256_1.jpg,traffic light,left_green_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
76,74442067-2bb64766.jpg,traffic light,green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
77,78eb3c4b-67ed6b61_3.jpg,traffic light,green_light;left_green_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
78,7d574ecb-97d22a3c.jpg,traffic light,red_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
79,7e21a4d0-e68131ab_3.jpg,traffic light,green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
80,8801e74c-7b580891.jpg,traffic light,right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
81,896deb61-57653ca9.jpg,traffic light,green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
82,90c02206-8629b893.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
83,92c5f54d-ec0eef76.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
84,971d3930-27c20fc5_3.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
85,981aff04-ddf44f92.jpg,traffic light,red_light,no,no,yes,generic detector box does not reliably match the annotated light state/direction; control contains an undetected potentially critical object
86,984f4974-32b09e42_1.jpg,traffic light,green_light;left_green_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
87,9aab765c-1713e6eb_3.jpg,traffic light,green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
88,9afabf0c-0c8752b8_1.jpg,traffic light,red_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
89,9b778671-716e449f_3.jpg,traffic light,green_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
90,9e11d34b-146df6bc_3.jpg,traffic light,green_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
91,9f6b1eb9-5f531304.jpg,traffic light,right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
92,a1140112-2e79103d_3.jpg,traffic light,green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
93,a32e85d1-3f06cd9d_1.jpg,traffic light,green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
94,a349aaee-b92a025f.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
95,a4f7d172-6d1973fe_3.jpg,traffic light,left_green_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
96,a5b6017f-3ad94015_1.jpg,traffic light,green_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
97,abedcf51-396c2747_1.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
98,b12f681c-1b7750eb_1.jpg,traffic light,green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
99,b4a23106-f7270c1c_1.jpg,traffic light,green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
100,b750dfba-288937b9.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
101,befa588e-80b3c62a_1.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
102,c1e404d7-4a3eedc5.jpg,traffic light,green_light,yes,yes,yes,manual audit pass
103,c4353b9c-f8f56adc_3.jpg,traffic light,right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
104,c4b8340c-51d3f82b_1.jpg,traffic light,red_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
105,c695fbd3-0a91a52f_1.jpg,traffic light,red_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
106,c6bb9629-1727269a_3.jpg,traffic light,red_light,yes,yes,yes,manual audit pass
107,eb6b86ee-a20b3aab.jpg,traffic light,red_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
108,f3894e02-d92a0682.jpg,traffic light,green_light;right_green_light,no,yes,yes,generic detector box does not reliably match the annotated light state/direction
