confidence_construction,metric,quantity,seed,estimate
S1,unsafe_acceptance_rate_90,delta_joint_minus_action,43,-0.014139444173573879
S1,unsafe_acceptance_rate_90,delta_joint_minus_action,44,-0.0024378352023403105
S1,unsafe_acceptance_rate_90,delta_joint_minus_action,45,-0.010482691370063357
S1,unsafe_acceptance_rate_90,delta_joint_minus_action,46,-0.03510482691370065
S1,unsafe_acceptance_rate_90,delta_joint_minus_action,47,0.007069722086786967
S1,ece,Action-Only,43,0.09796791119344483
S1,ece,Action-Only,44,0.08821436837422751
S1,ece,Action-Only,45,0.1030152989690874
S1,ece,Action-Only,46,0.1048910810832526
S1,ece,Action-Only,47,0.09951926803939853
S1,ece,Joint Action-Rationale,43,0.10012496226358568
S1,ece,Joint Action-Rationale,44,0.0831120529611139
S1,ece,Joint Action-Rationale,45,0.10885288459749969
S1,ece,Joint Action-Rationale,46,0.09688037589073728
S1,ece,Joint Action-Rationale,47,0.08854772919372389
S1,ece,delta_joint_minus_action,43,0.0021570510701408446
S1,ece,delta_joint_minus_action,44,-0.005102315413113609
S1,ece,delta_joint_minus_action,45,0.005837585628412287
S1,ece,delta_joint_minus_action,46,-0.008010705192515316
S1,ece,delta_joint_minus_action,47,-0.010971538845674644
S2,aurc,Action-Only,43,0.33684801374271867
S2,aurc,Action-Only,44,0.35522745444149134
S2,aurc,Action-Only,45,0.3456082640335633
S2,aurc,Action-Only,46,0.3435530862601829
S2,aurc,Action-Only,47,0.33934329570017263
S2,aurc,Joint Action-Rationale,43,0.31799956786659317
S2,aurc,Joint Action-Rationale,44,0.3340103601901973
S2,aurc,Joint Action-Rationale,45,0.3330988263100413
S2,aurc,Joint Action-Rationale,46,0.29100768747068173
S2,aurc,Joint Action-Rationale,47,0.32989768147283627
S2,aurc,delta_joint_minus_action,43,-0.018848445876125497
S2,aurc,delta_joint_minus_action,44,-0.021217094251294033
S2,aurc,delta_joint_minus_action,45,-0.012509437723522032
S2,aurc,delta_joint_minus_action,46,-0.05254539878950115
S2,aurc,delta_joint_minus_action,47,-0.009445614227336363
S2,unsafe_acceptance_rate_90,Action-Only,43,0.49634324719648953
S2,unsafe_acceptance_rate_90,Action-Only,44,0.5009751340809361
S2,unsafe_acceptance_rate_90,Action-Only,45,0.500243783520234
S2,unsafe_acceptance_rate_90,Action-Only,46,0.4885421745490005
S2,unsafe_acceptance_rate_90,Action-Only,47,0.48756704046806437
S2,unsafe_acceptance_rate_90,Joint Action-Rationale,43,0.4824475865431497
S2,unsafe_acceptance_rate_90,Joint Action-Rationale,44,0.4951243295953194
S2,unsafe_acceptance_rate_90,Joint Action-Rationale,45,0.48659190638712824
S2,unsafe_acceptance_rate_90,Joint Action-Rationale,46,0.4485616772306192
S2,unsafe_acceptance_rate_90,Joint Action-Rationale,47,0.49171136031204293
S2,unsafe_acceptance_rate_90,delta_joint_minus_action,43,-0.013895660653339859
S2,unsafe_acceptance_rate_90,delta_joint_minus_action,44,-0.005850804485616701
S2,unsafe_acceptance_rate_90,delta_joint_minus_action,45,-0.013651877133105783
S2,unsafe_acceptance_rate_90,delta_joint_minus_action,46,-0.039980497318381325
S2,unsafe_acceptance_rate_90,delta_joint_minus_action,47,0.004144319843978561
S2,ece,Action-Only,43,0.18593683639149
S2,ece,Action-Only,44,0.19106227420935942
S2,ece,Action-Only,45,0.18975640900946505
S2,ece,Action-Only,46,0.17724267401493096
S2,ece,Action-Only,47,0.1805434714422437
S2,ece,Joint Action-Rationale,43,0.1735880005478851
S2,ece,Joint Action-Rationale,44,0.18544688145884156
S2,ece,Joint Action-Rationale,45,0.16604268123727275
S2,ece,Joint Action-Rationale,46,0.16142753571679083
S2,ece,Joint Action-Rationale,47,0.18823808666518788
S2,ece,delta_joint_minus_action,43,-0.01234883584360491
S2,ece,delta_joint_minus_action,44,-0.005615392750517867
S2,ece,delta_joint_minus_action,45,-0.0237137277721923
S2,ece,delta_joint_minus_action,46,-0.01581513829814013
S2,ece,delta_joint_minus_action,47,0.007694615222944179
